"Pergunta","Resposta","Tags","Mnemônico","Dificuldade","Hint"
"O tapetum do corpo caloso forma o ___ do átrio e cornos temporal/occipital.","Teto","anatomia-ventriculo-lateral,tapetum","","M",""
"Além do teto, o tapetum do corpo caloso também forma a ___ do átrio e cornos temporal/occipital.","Parede lateral","anatomia-ventriculo-lateral,tapetum","","M",""
"A cauda do núcleo caudado no corno temporal localiza-se no ___.","Teto","anatomia-ventriculo-lateral,corno-temporal","","M",""
"A cauda do núcleo caudado no corno temporal está medial ao ___.","Tapetum","anatomia-ventriculo-lateral,corno-temporal","","M",""
"A amígdala forma proeminência na parede ___ do corno temporal.","Anteromedial","anatomia-ventriculo-lateral,corno-temporal","","M",""
"A fímbria do fórnice origina-se na superfície do ___.","Hipocampo","anatomia-fornix,fimbria","","M",""
"A fímbria do fórnice continua como o ___.","Crus do fórnice","anatomia-fornix,fimbria","","M",""
"Em hidrocefalia, o maior marco venoso é a ___.","Veia talamoestriada (e outras veias ventriculares)","cirurgico-hidrocefalia,marcos","Veias = marcos em hidrocefalia","M",""
"Por que artérias são menos úteis como marcos em hidrocefalia?","Não são firmemente aderidas à superfície cortical, passam por cisternas/sulcos","cirurgico-hidrocefalia,marcos","","M",""
"A posição 3/4 prona para abordagem ao átrio mantém o lado da lesão para ___.","Baixo (gravidade ajuda exposição)","cirurgico-abordagem,atrio","Lesão para baixo","D","Lembre-se: Lesão para baixo"
"SIADH em lesões do 3V ocorre por lesão do ___.","Hipotálamo","patologia,hipotalamo","SIADH = Na baixo","D","Considere a fisiopatologia do processo"
"O SIADH causa ___ como distúrbio hidroeletrolítico.","Hiponatremia","patologia,hipotalamo","SIADH = Na baixo","D","Considere a fisiopatologia do processo"
"Manipulação do hipotálamo POSTERIOR pode causar ___ sintomas.","3","patologia,hipotalamo,atomizado","Posterior = temp/sono","D","Considere a fisiopatologia do processo"
"A abordagem subchoroidal (obsoleta) abria a fissura coroidal pelo lado ___.","Talâmico (tenia thalami)","cirurgico-abordagem,historico","Subchoroidal = tálamo = obsoleta","D","Qual é o princípio desta abordagem?"
"VERDADEIRO ou FALSO: Papiloma do plexo coroide é maligno.","FALSO - é benigno, mas hipervascularizado","patologia,plexo","","D","Cuidado com a afirmação - verifique cada termo"
"Carcinoma do plexo coroide pode dar metástases pelo ___.","LCR","patologia,plexo","Carcinoma = LCR mets","D","Considere a fisiopatologia do processo"
"Embolização pré-operatória é útil para tumores do plexo porque são ___.","Altamente vascularizados","patologia,plexo","Plexo = vascular = embolizar","D","Considere a fisiopatologia do processo"
"A idade típica do papiloma do plexo coroide é ___.","Primeiros 2 anos de vida","patologia,plexo","Criança = papiloma","D","Considere a fisiopatologia do processo"
"Em CRIANÇAS, papiloma do plexo é mais comum no ___.","Ventrículo lateral (trígono)","patologia,plexo","VL criança, 4V adulto","D","Considere a fisiopatologia do processo"
"Em ADULTOS, papiloma do plexo é mais comum no ___.","Quarto ventrículo","patologia,plexo","VL criança, 4V adulto","D","Considere a fisiopatologia do processo"
"Mnemônico FSVIP: camadas do teto do 3V de superior para inferior.","Fórnice, Superior tela, Velum, Inferior tela, Plexo","mnemonicos,teto","F-S-V-I-P","E",""
"Mnemônico QPTCMP: estruturas do assoalho do 3V de anterior para posterior.","Quiasma, Pedúnculo, Túber, Corpos mamilares, (substância) Perfurada, Mesencéfalo (tegmento)","mnemonicos,assoalho","Q-P-T-C-M-P","E",""
"Mnemônico 3 Hs: tríade do infarto da AChA.","Hemiplegia, Hemianestesia, Hemianopsia","mnemonicos,vascular","3 Hs","E",""
"Mnemônico CAQ: trajeto da veia basal ao redor do mesencéfalo.","Crural, Ambiente, Quadrigeminal","mnemonicos,vascular","C-A-Q","E",""
"Mnemônico PTM: divisões funcionais do hipotálamo.","Pré-óptica (Temp), Tuberal (endócrina), Mamilar (memória)","mnemonicos,hipotalamo","P-T-M","E",""
"Mnemônico para posição do quiasma: 10-80-10.","Pré-fixado 10%, Normal 80%, Pós-fixado 10%","mnemonicos,quiasma","10-80-10","E",""
"CASO INTEGRADOR: Paciente com tumor do teto do 3V. Qual abordagem e quais estruturas preservar?","Transcalosa-transchoroidal; preservar VCIs, fórnice, talamoestriada","casos-integrados,cirurgico","","D","Revise o conceito central deste tópico"
"CASO INTEGRADOR: Criança com hidrocefalia e massa pineal. Qual procedimento inicial?","ETV (ventriculostomia) ± biópsia no mesmo tempo","casos-integrados,cirurgico","ETV + biópsia","D","Lembre-se: ETV + biópsia"
"CASO INTEGRADOR: Paciente com déficit visual bitemporal e lesão no assoalho do 3V. Diagnóstico?","Craniofaringioma (comprimindo quiasma)","casos-integrados,diagnostico","","D","Revise o conceito central deste tópico"
"CASO INTEGRADOR: Hidrocefalia aguda + morte súbita em paciente jovem. Principal suspeita?","Cisto coloide com obstrução aguda do forame de Monro","casos-integrados,diagnostico","","D","Revise o conceito central deste tópico"
"CASO INTEGRADOR: Qual a diferença prática entre abordagem transchoroidal e interforniceal?","Transchoroidal: via fissura coroidal/velum; Interforniceal: via rafe mediana entre fórnices","casos-integrados,cirurgico","Trans = velum; Inter = rafe","D","Compare as características principais"
"Qual estrutura NÃO pode ser sacrificada bilateralmente durante cirurgia do 3V?","Veia cerebral interna (VCI)","revisao-rapida,vascular","VCI bilateral = fatal","M",""
"Qual o marco anatômico mais confiável para identificar o forame de Monro na angiografia?","Ponto venoso (ângulo talamoestriada-VCI)","revisao-rapida,imagem","","M",""
"Qual a diferença entre coroidal anterior e posterior medial em termos de território?","Anterior: VL (corno temporal); Posterior medial: 3V","revisao-rapida,vascular","Anterior=VL, Medial=3V","D","Compare as características principais"
"Quais são os 4 recessos do 3V?","Óptico, infundibular (anteriores); suprapineal, pineal (posteriores)","revisao-rapida,anatomia","2 anteriores, 2 posteriores","M",""
"Qual estrutura marca a divisão tálamo-hipotálamo na parede lateral?","Sulco hipotalâmico","revisao-rapida,anatomia","","M",""
"O que acontece se você lesar o esplênio durante abordagem transcalosa?","Alexia sem agrafia (síndrome de desconexão)","revisao-rapida,cirurgico","","M",""
"Quantas tributárias principais formam a veia de Galeno?","4 (VCIs + basais + calcarinas anteriores + vermianas superiores)","revisao-rapida,vascular","4 tributárias","M",""
"Qual a principal contraindicação relativa para ETV?","Hidrocefalia comunicante (não obstrutiva)","revisao-rapida,cirurgico","","M",""
"Qual porcentagem de variação da talamoestriada passando ATRÁS do forame?","10-15%","revisao-rapida,variacao","","M",""
"Qual porcentagem de AUSÊNCIA da talamoestriada com substituição pela talamocaudada?","4%","revisao-rapida,variacao","","M",""
"A artéria coroidal que supre o CORNO TEMPORAL do VL é a ___.","Artéria coroidal ANTERIOR","vascular-arterias,plexo,atomizado-de-24","VL = Anterior + Lateral","E",""
"A artéria coroidal que supre o CORPO e ÁTRIO do VL é a ___.","Artéria coroidal posterior LATERAL","vascular-arterias,plexo,atomizado-de-24","VL = Anterior + Lateral","E",""
"O 1º déficit de lesão unilateral da VCI é ___.","Alteração de consciência","vascular-veias,clinico,atomizado-de-63","Unilateral = possível mas arriscado","D","Pense na sequência completa"
"O 2º déficit de lesão unilateral da VCI é ___.","Déficits de memória","vascular-veias,clinico,atomizado-de-63","Unilateral = possível mas arriscado","D","Pense na sequência completa"
"O 3º déficit de lesão unilateral da VCI é ___.","Hemiparesia","vascular-veias,clinico,atomizado-de-63","Unilateral = possível mas arriscado","D","Pense na sequência completa"
"A 1ª veia do grupo MEDIAL ventricular é a ___.","Veia septal anterior","vascular-veias,grupos,atomizado-de-140","Medial = septal/hipocampal","E",""
"A 2ª veia do grupo MEDIAL ventricular são as ___.","Veias septais posteriores","vascular-veias,grupos,atomizado-de-140","Medial = septal/hipocampal","E",""
"A 3ª veia do grupo MEDIAL ventricular é a ___.","Veia atrial medial","vascular-veias,grupos,atomizado-de-140","Medial = septal/hipocampal","E",""
"A 4ª veia do grupo MEDIAL ventricular são as ___.","Veias hipocampais transversas","vascular-veias,grupos,atomizado-de-140","Medial = septal/hipocampal","E",""
"A 1ª veia do grupo LATERAL ventricular são as ___.","Veias caudadas","vascular-veias,grupos,atomizado-de-141","Lateral = caudada/estriada","E",""
"A 2ª veia do grupo LATERAL ventricular é a ___.","Veia talamoestriada","vascular-veias,grupos,atomizado-de-141","Lateral = caudada/estriada","E",""
"A 3ª veia do grupo LATERAL ventricular é a ___.","Veia atrial lateral","vascular-veias,grupos,atomizado-de-141","Lateral = caudada/estriada","E",""
"A 4ª veia do grupo LATERAL ventricular é a ___.","Veia ventricular inferior","vascular-veias,grupos,atomizado-de-141","Lateral = caudada/estriada","E",""
"A 5ª veia do grupo LATERAL ventricular é a ___.","Veia amigdalar","vascular-veias,grupos,atomizado-de-141","Lateral = caudada/estriada","E",""
"A 1ª tributária da veia de Galeno são as ___.","VCIs (veias cerebrais internas)","vascular-veias,galeno,atomizado-de-144","4 tributárias para Galeno","E",""
"A 2ª tributária da veia de Galeno são as ___.","Veias basais (de Rosenthal)","vascular-veias,galeno,atomizado-de-144","4 tributárias para Galeno","E",""
"A 3ª tributária da veia de Galeno são as ___.","Veias calcarinas anteriores","vascular-veias,galeno,atomizado-de-144","4 tributárias para Galeno","E",""
"A 4ª tributária da veia de Galeno são as ___.","Veias vermianas superiores","vascular-veias,galeno,atomizado-de-144","4 tributárias para Galeno","E",""
"A 1ª estrutura suprida pela A. de Heubner é a ___.","Cabeça do núcleo caudado","vascular-arterias,heubner,atomizado-de-151","","E",""
"A 2ª estrutura suprida pela A. de Heubner é o ___.","Braço anterior da cápsula interna","vascular-arterias,heubner,atomizado-de-151","","E",""
"A 3ª estrutura suprida pela A. de Heubner é ___.","Parte do putâmen","vascular-arterias,heubner,atomizado-de-151","","E",""
"O 1º déficit de lesão bilateral das perfurantes hipotalâmicas é ___.","Coma","vascular-arterias,clinico,atomizado-de-172","Hipotálamo = consciência + temp + memória","D","Quais territórios esta artéria irriga?"
"O 2º déficit de lesão bilateral das perfurantes hipotalâmicas é ___.","Alteração térmica","vascular-arterias,clinico,atomizado-de-172","Hipotálamo = consciência + temp + memória","D","Quais territórios esta artéria irriga?"
"O 3º déficit de lesão bilateral das perfurantes hipotalâmicas é ___.","Perda de memória","vascular-arterias,clinico,atomizado-de-172","Hipotálamo = consciência + temp + memória","D","Quais territórios esta artéria irriga?"
"A 1ª veia na abordagem supracerebelar são as ___.","Veias vermianas superiores","cirurgico-abordagem,supracerebelar,atomizado-de-188","","D","Qual é o princípio desta abordagem?"
"A 2ª veia na abordagem supracerebelar são as ___.","Veias precentrais cerebelares","cirurgico-abordagem,supracerebelar,atomizado-de-188","","D","Qual é o princípio desta abordagem?"
"A 3ª veia na abordagem supracerebelar são as ___.","Veias hemisféricas superiores","cirurgico-abordagem,supracerebelar,atomizado-de-188","","D","Qual é o princípio desta abordagem?"
"O 1º sintoma de manipulação do hipotálamo posterior é ___.","Alteração térmica","patologia,hipotalamo,atomizado-de-215","Posterior = temp/sono","D","Considere a fisiopatologia do processo"
"O 2º sintoma de manipulação do hipotálamo posterior é ___.","Coma","patologia,hipotalamo,atomizado-de-215","Posterior = temp/sono","D","Considere a fisiopatologia do processo"
"O 3º sintoma de manipulação do hipotálamo posterior é ___.","Alteração do ciclo sono-vigília","patologia,hipotalamo,atomizado-de-215","Posterior = temp/sono","D","Considere a fisiopatologia do processo"
